f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,label,label_name,confidence,style,reason,payload
1.0,0.0,0.0,0.0,0.252,0.252,0.2679425837320574,0.029954533297673176,1.0,0.7064270152505446,0.12,0.42857142857142855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.5166666666666666,0.0,0,FOLD,0.82,discipline,Weak preflop range folds versus pressure (marginal),"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""PREFLOP"",""holeCards"":[""3c"",""4d""],""communityCards"":[],""pot"":306,""toCall"":112,""botStack"":3739,""opponentStack"":2594,""position"":""SMALL_BLIND"",""playersCount"":5,""actions"":[""FOLD"",""RAISE""],""opponentStyle"":""UNKNOWN"",""minRaise"":50,""scenario"":""trash""}"
0.0,0.0,1.0,0.0,0.20061594202898553,0.539,0.0,0.0,0.758414766558089,0.758414766558089,1.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5,0.16666666666666663,1.0,0.125,0.0,0.8,0.6,0.0,0.44999999999999996,1.0,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""TURN"",""holeCards"":[""7d"",""9h""],""communityCards"":[""4h"",""Jd"",""9d"",""As""],""pot"":307,""toCall"":0,""botStack"":2794,""opponentStack"":2955,""position"":""LATE"",""playersCount"":4,""actions"":[""CHECK"",""CALL"",""CHECK"",""CHECK"",""CALL"",""CALL"",""CALL""],""opponentStyle"":""PASSIVE"",""minRaise"":20,""scenario"":""draw_pressure""}"
1.0,0.0,0.0,0.0,0.529,0.529,0.1625,0.03178484107579462,0.5087064676616916,0.5087064676616916,0.12,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0,FOLD,0.82,discipline,Weak preflop range folds versus pressure (marginal),"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""PREFLOP"",""holeCards"":[""8h"",""6h""],""communityCards"":[],""pot"":134,""toCall"":26,""botStack"":818,""opponentStack"":2710,""position"":""SMALL_BLIND"",""playersCount"":4,""actions"":[],""opponentStyle"":""AGGRESSIVE"",""minRaise"":20,""scenario"":""speculative""}"
0.0,1.0,0.0,0.0,0.10210144927536233,0.761,0.0,0.0,1.0,0.25161030595813205,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.9166666666666666,0.6666666666666666,0.25,0.0,0.0,0.0,0.2,0.6,0.2,0.29999999999999993,1.0,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""10d"",""Kh""],""communityCards"":[""Js"",""2d"",""5d""],""pot"":414,""toCall"":0,""botStack"":9801,""opponentStack"":1250,""position"":""BUTTON"",""playersCount"":6,""actions"":[""CHECK"",""FOLD"",""CHECK"",""CHECK"",""CALL""],""opponentStyle"":""TIGHT_PASSIVE"",""minRaise"":50,""scenario"":""balanced""}"
0.0,1.0,0.0,0.0,0.10057971014492754,0.8540000000000001,0.0,0.0,0.13248551191242755,0.13248551191242755,0.12,0.42857142857142855,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9166666666666666,0.3333333333333333,0.75,0.0,0.0,0.2,0.8,0.4,0.0,0.65,1.0,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""Ks"",""Js""],""communityCards"":[""6d"",""7s"",""4h""],""pot"":1553,""toCall"":0,""botStack"":2469,""opponentStack"":11645,""position"":""BIG_BLIND"",""playersCount"":5,""actions"":[""CALL"",""CALL"",""CALL"",""CALL"",""RAISE"",""CHECK"",""CHECK""],""opponentStyle"":""CALLING_STATION"",""minRaise"":100,""scenario"":""premium_preflop""}"
1.0,0.0,0.0,0.0,0.529,0.529,0.0,0.0,0.7966269841269842,0.767609126984127,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.6166666666666667,0.0,1,CHECK_CALL,0.7,pot_control,Marginal preflop hand checks option (marginal),"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""PREFLOP"",""holeCards"":[""8c"",""6c""],""communityCards"":[],""pot"":336,""toCall"":0,""botStack"":3212,""opponentStack"":3095,""position"":""LATE"",""playersCount"":2,""actions"":[""RAISE"",""CALL"",""CALL""],""opponentStyle"":""AGGRESSIVE"",""minRaise"":50,""scenario"":""speculative""}"
0.0,0.0,1.0,0.0,0.301231884057971,0.6749999999999999,0.5010085728693898,0.5771129828637815,0.14498062994778507,0.14498062994778507,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.9166666666666666,0.5,0.5,1.0,0.25,0.0,0.0,0.2,0.0,0.31666666666666665,1.0,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""TURN"",""holeCards"":[""Kh"",""7d""],""communityCards"":[""7c"",""6h"",""Qd"",""Qc""],""pot"":1979,""toCall"":1987,""botStack"":3443,""opponentStack"":5375,""position"":""BUTTON"",""playersCount"":6,""actions"":[""CHECK""],""opponentStyle"":""PASSIVE"",""minRaise"":50,""scenario"":""draw_pressure""}"
0.0,1.0,0.0,0.0,0.1796014492753623,0.659,0.40625,0.3448979591836735,0.16531713900134953,0.16531713900134953,0.12,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.75,1.0,0.125,0.4,0.4,0.2,0.0,0.75,0.0,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""10d"",""8d""],""communityCards"":[""8s"",""5h"",""7d""],""pot"":247,""toCall"":169,""botStack"":490,""opponentStack"":5011,""position"":""EARLY"",""playersCount"":3,""actions"":[""RAISE"",""CALL"",""RAISE"",""CALL"",""CHECK""],""opponentStyle"":""UNKNOWN"",""minRaise"":50,""scenario"":""speculative""}"
0.0,0.0,1.0,0.0,0.11833333333333336,0.595,0.0,0.0,0.039141414141414144,0.039141414141414144,0.12,0.2857142857142857,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.5,0.16666666666666663,0.0,0.0,0.2,0.2,0.4,0.4,0.5,1.0,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""TURN"",""holeCards"":[""3h"",""Kc""],""communityCards"":[""4s"",""9c"",""Ah"",""Jc""],""pot"":396,""toCall"":0,""botStack"":186,""opponentStack"":355,""position"":""EARLY"",""playersCount"":4,""actions"":[""FOLD"",""RAISE"",""CHECK"",""CHECK"",""CALL"",""FOLD""],""opponentStyle"":""TIGHT_PASSIVE"",""minRaise"":20,""scenario"":""balanced""}"
0.0,1.0,0.0,0.0,0.12181159420289857,0.76,0.29508196721311475,0.30940343781597573,0.11274509803921569,0.11274509803921569,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.3333333333333333,0.5833333333333333,0.0,0.0,0.2,0.4,0.2,0.0,0.5833333333333334,1.0,0,FOLD,0.76,discipline,Weak hand facing costly or aggressive action,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""9c"",""As""],""communityCards"":[""Kd"",""8h"",""Jc""],""pot"":731,""toCall"":306,""botStack"":989,""opponentStack"":8564,""position"":""LATE"",""playersCount"":5,""actions"":[""CALL"",""RAISE"",""CHECK"",""CALL""],""opponentStyle"":""PASSIVE"",""minRaise"":50,""scenario"":""draw_pressure""}"
1.0,0.0,0.0,0.0,0.545,0.545,0.0,0.0,0.030146829115901278,0.030146829115901278,0.12,0.5714285714285714,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.36666666666666664,1.0,1,CHECK_CALL,0.7,pot_control,Marginal preflop hand checks option (marginal),"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""PREFLOP"",""holeCards"":[""Jh"",""5d""],""communityCards"":[],""pot"":1067,""toCall"":0,""botStack"":386,""opponentStack"":1065,""position"":""SMALL_BLIND"",""playersCount"":6,""actions"":[""CHECK"",""CALL""],""opponentStyle"":""PASSIVE"",""minRaise"":20,""scenario"":""value_spot""}"
0.0,0.0,1.0,0.0,0.48217391304347823,0.919,0.0,0.0,1.0,1.0,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.75,1.0,0.5,0.2,0.2,0.0,0.2,0.5666666666666667,0.0,2,RAISE,0.86,value,"Strong hand, value betting favorable spot","{""gameId"":""sim"",""botId"":""bot_1"",""street"":""TURN"",""holeCards"":[""Ah"",""Qh""],""communityCards"":[""10d"",""8d"",""Js"",""9c""],""pot"":80,""toCall"":0,""botStack"":2367,""opponentStack"":1923,""position"":""EARLY"",""playersCount"":2,""actions"":[""FOLD"",""CALL"",""RAISE""],""opponentStyle"":""UNKNOWN"",""minRaise"":20,""scenario"":""premium_preflop""}"
1.0,0.0,0.0,0.0,0.46,0.46,0.3899831176139561,0.10531381388987386,0.5058681836818368,0.04435731857318573,0.12,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.5333333333333333,0.0,0,FOLD,0.82,discipline,Weak preflop range folds versus pressure (marginal),"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""PREFLOP"",""holeCards"":[""3s"",""10d""],""communityCards"":[],""pot"":3252,""toCall"":2079,""botStack"":19741,""opponentStack"":1731,""position"":""SMALL_BLIND"",""playersCount"":4,""actions"":[""CALL"",""RAISE"",""CHECK""],""opponentStyle"":""UNKNOWN"",""minRaise"":100,""scenario"":""draw_pressure""}"
0.0,1.0,0.0,0.0,0.08217391304347826,0.53,0.0,0.0,0.17049319727891157,0.17049319727891157,0.12,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.8333333333333334,0.6666666666666666,0.75,0.0,0.0,0.0,0.4,0.0,0.0,0.44999999999999996,1.0,1,CHECK_CALL,0.66,pot_control,Weak or marginal hand takes free card,"{""gameId"":""sim"",""botId"":""bot_1"",""street"":""FLOP"",""holeCards"":[""2d"",""Qs""],""communityCards"":[""7d"",""4d"",""6s""],""pot"":588,""toCall"":0,""botStack"":1203,""opponentStack"":1227,""position"":""EARLY"",""playersCount"":2,""actions"":[""CALL"",""CALL""],""opponentStyle"":""PASSIVE"",""minRaise"":20,""scenario"":""value_spot""}"
